Country,gdp_nominal
Monaco,256580
Liechtenstein,186400
Luxembourg,128678
Bermuda,125841
Switzerland,99564
Ireland,103887
Cayman Islands,97749
Isle of Man,94300
Norway,87925
Singapore,84734
United States,82769
Iceland,79637
Macau,66476
Qatar,80195
Denmark,68453
Netherlands,64572
Faroe Islands,71717
Australia,64820
Channel Islands,74589
San Marino,54264
Austria,56506
Sweden,56305
Belgium,53475
Germany,52746
Finland,53756
Canada,53372
Hong Kong,50697
Israel,52262
United Kingdom,48867
Greenland,57116
United Arab Emirates,52977
France,44461
New Zealand,48528
Andorra,46545
Malta,37882
European Union,40824
U.S. Virgin Islands,41976
Italy,38373
Guam,40227
Aruba,33301
Sint Maarten (Dutch part),39433
Puerto Rico,36779
Cyprus,34701
Bahamas,34750
South Korea,33121
Spain,32677
New Caledonia,35746
Brunei,33431
Slovenia,32163
Saudi Arabia,28895
Japan,33834
Kuwait,37533
Estonia,29824
Czech Republic,30427
Turks and Caicos Islands,30438
Bahrain,29084
Portugal,27275
Guyana,20626
Lithuania,27103
Slovakia,24470
Barbados,22673
Greece,22990
Latvia,23184
Saint Kitts and Nevis,22553
Hungary,22147
Poland,22113
Croatia,21460
Uruguay,22564
Antigua and Barbuda,21560
Seychelles,17879
Oman,23295
Curaçao,20493
Romania,18419
Trinidad and Tobago,18333
American Samoa,19673
Panama,18662
French Polynesia,18985
Palau,14565
Costa Rica,16595
Northern Mariana Islands,17303
Maldives,12667
Bulgaria,15798
Chile,17093
Saint Martin (French part),16087
Turkey,12986
Russia,13817
Kazakhstan,13137
Saint Lucia,13980
Mexico,13926
World,13138
Malaysia,11649
Cuba,9500
China,12614
Argentina,13730
Montenegro,12017
Turkmenistan,9191
Mauritius,11417
Serbia,11361
Nauru,12060
Grenada,10464
Dominican Republic,10716
Saint Vincent and the Grenadines,10279
Brazil,10044
Albania,8368
Dominica,8954
Gabon,8420
Georgia,8120
North Macedonia,8146
Armenia,8716
Peru,7790
Bosnia and Herzegovina,8426
Belize,7988
Equatorial Guinea,7067
Belarus,7829
Colombia,6980
Suriname,6069
Thailand,7172
Jamaica,6874
Azerbaijan,7155
Moldova,6651
Botswana,7250
Tuvalu,5465
Marshall Islands,6762
Ecuador,6533
Mongolia,5765
Libya,7330
South Africa,6253
Kosovo,5943
Guatemala,5797
Fiji,5868
Iraq,5512
Paraguay,6260
El Salvador,5344
Algeria,5260
Ukraine,5181
Iran,4502
Micronesia,3992
Samoa,4139
Indonesia,4940
Tonga,4682
Cape Verde,4322
Jordan,4482
Vietnam,4347
Lebanon,3350
Namibia,4743
Eswatini,3797
Tunisia,3895
Morocco,3672
Djibouti,3606
Philippines,3726
Bhutan,3711
Venezuela,15976
Bolivia,3701
Sri Lanka,3828
Egypt,3513
Honduras,3247
São Tomé and Príncipe,2602
Vanuatu,3367
Palestine,3368
Uzbekistan,2496
Angola,2309
Nicaragua,2530
Cambodia,1875
Ivory Coast,2729
India,2480
Bangladesh,2551
Papua New Guinea,2994
Kiribati,2090
Congo,2509
Mauritania,2149
Ghana,2238
Kyrgyzstan,1970
Kenya,1950
Solomon Islands,2203
Haiti,1693
Zimbabwe,1592
Laos,2075
Cameroon,1674
Senegal,1746
Guinea,1664
Comoros,1587
Pakistan,1365
Benin,1435
Timor-Leste,1648
Nepal,1377
Ethiopia,1294
Tajikistan,1189
Zambia,1369
Tanzania,1211
Zanzibar,1192
Uganda,1014
Myanmar,1188
Guinea-Bissau,914
Lesotho,878
Togo,1013
Chad,719
Gambia,844
Rwanda,1000
Burkina Faso,874
Mali,897
Nigeria,1621
Sierra Leone,433
Liberia,799
Syria,421
Somalia,644
DR Congo,649
Niger,618
Eritrea,644
Mozambique,608
Sudan,2272
Madagascar,529
Central African Republic,445
Yemen,533
Malawi,673
Afghanistan,353
South Sudan,1072
Burundi,200