Country,Life Expectancy
Afghanistan,66.03
Albania,79.60
Algeria,76.26
Andorra,84.04
Angola,64.62
Antigua and Barbuda,77.60
Argentina,77.39
Armenia,75.68
Aruba,76.35
Australia,83.92
Austria,81.96
Azerbaijan,74.43
Bahamas,74.55
Bahrain,81.28
Bangladesh,74.67
Barbados,76.18
Belarus,74.43
Belgium,82.11
Belize,73.57
Benin,60.77
Bermuda,82.31
Bhutan,72.97
Bolivia,68.58
Bosnia and Herzegovina,77.85
Botswana,69.16
Brazil,75.85
Brunei,75.33
Bulgaria,75.64
Burkina Faso,61.09
Burundi,63.65
Cambodia,70.67
Cameroon,63.70
Canada,82.63
Cape Verde,76.06
Cayman Islands,80.36
Central African Republic,57.41
Chad,55.07
Chile,81.17
China,77.95
Colombia,77.72
Comoros,66.78
Congo,65.77
Costa Rica,80.80
Croatia,78.58
Cuba,78.08
Curaçao,76.80
Cyprus,81.65
Czech Republic,79.83
Denmark,81.93
Djibouti,65.99
Dominica,71.13
Dominican Republic,73.72
DR Congo,61.90
Ecuador,77.39
Egypt,71.63
El Salvador,72.10
Equatorial Guinea,63.71
Eritrea,68.62
Estonia,79.15
Eswatini,64.12
Ethiopia,67.31
Faroe Islands,80.18
Fiji,67.32
Finland,81.91
France,83.33
French Guiana,76.98
French Polynesia,84.07
Gabon,68.34
Gambia,65.86
Georgia,74.50
Germany,81.38
Ghana,65.50
Greece,81.86
Greenland,70.06
Grenada,75.20
Guadeloupe,82.05
Guam,77.21
Guatemala,72.60
Guernsey,83.27
Guinea,60.74
Guinea-Bissau,64.08
Guyana,70.18
Haiti,64.94
Honduras,72.88
Hong Kong,85.51
Hungary,77.02
Iceland,82.69
India,72.00
Indonesia,71.15
Iran,77.65
Iraq,72.32
Ireland,82.41
Isle of Man,81.00
Israel,82.41
Italy,83.72
Ivory Coast,61.94
Jamaica,71.48
Japan,84.71
Jersey,79.71
Jordan,77.81
Kazakhstan,74.40
Kenya,63.65
Kiribati,66.47
Kosovo,78.03
Kuwait,80.41
Kyrgyzstan,71.68
Laos,68.96
Latvia,76.19
Lebanon,77.82
Lesotho,57.38
Liberia,62.16
Libya,69.34
Lithuania,76.03
Luxembourg,82.23
Macau,83.08
Madagascar,63.63
Malawi,67.35
Malaysia,76.66
Maldives,81.04
Mali,60.44
Malta,83.30
Martinique,82.56
Mauritania,68.48
Mauritius,74.93
Mayotte,76.05
Mexico,75.07
Micronesia,67.20
Moldova,71.20
Mongolia,71.73
Montenegro,77.09
Morocco,75.31
Mozambique,63.61
Myanmar,66.89
Namibia,67.39
Nepal,70.35
Netherlands,82.16
New Caledonia,78.77
New Zealand,82.09
Nicaragua,74.95
Niger,61.18
Nigeria,54.46
North Korea,73.64
North Macedonia,77.39
Norway,83.31
Oman,80.03
Pakistan,67.65
Palestine,65.17
Panama,79.59
Papua New Guinea,66.13
Paraguay,73.84
Peru,77.74
Philippines,69.83
Poland,78.63
Portugal,82.36
Puerto Rico,81.69
Qatar,82.37
Réunion,83.55
Romania,75.94
Russia,73.15
Rwanda,67.78
Saint Lucia,72.70
Saint Vincent and the Grenadines,71.23
Samoa,71.70
São Tomé and Príncipe,69.72
Saudi Arabia,78.73
Senegal,68.68
Serbia,76.77
Seychelles,72.86
Sierra Leone,61.79
Singapore,83.74
Slovakia,78.34
Slovenia,81.60
Solomon Islands,70.53
Somalia,58.82
South Africa,66.14
South Korea,84.33
South Sudan,57.62
Spain,83.67
Sri Lanka,77.48
Sudan,66.33
Suriname,73.63
Sweden,83.26
Switzerland,83.95
Syria,72.12
Taiwan,80.56
Tajikistan,71.79
Tanzania,67.00
Thailand,76.41
Timor-Leste,67.69
Togo,62.74
Tonga,72.89
Trinidad and Tobago,73.49
Tunisia,76.51
Turkey,77.16
Turkmenistan,70.07
U.S. Virgin Islands,75.47
Uganda,68.25
Ukraine,73.42
United Arab Emirates,82.91
United Kingdom,81.30
United States,79.30
Uruguay,78.14
Uzbekistan,72.39
Vanuatu,71.48
Venezuela,72.51
Vietnam,74.59
Western Sahara,71.39
Yemen,69.30
Zambia,66.35
Zimbabwe,62.77